AMG KO	AMG KO name	Category
K21224	kedN5; radical SAM C-methyltransferase	Metabolism of terpenoids and polyketides
K02844	waaG, rfaG; UDP-glucose:(heptosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]	Glycan biosynthesis and metabolism
K03462	NAMPT; nicotinamide phosphoribosyltransferase [EC:2.4.2.12]	Metabolism of cofactors and vitamins
K01270	pepD; dipeptidase D [EC:3.4.13.-]	Metabolism of other amino acids
K21480	HO, pbsA1, hmuO; heme oxygenase (biliverdin-producing, ferredoxin) [EC:1.14.15.20]	Metabolism of cofactors and vitamins
K13010	per, rfbE; perosamine synthetase [EC:2.6.1.102]	Carbohydrate metabolism
K03272	gmhC, hldE, waaE, rfaE; D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.167 2.7.7.70]	Glycan biosynthesis and metabolism
K08678	UXS1, uxs; UDP-glucuronate decarboxylase [EC:4.1.1.35]	Carbohydrate metabolism
K01710	E4.2.1.46, rfbB, rffG; dTDP-glucose 4,6-dehydratase [EC:4.2.1.46]	Metabolism of terpenoids and polyketides
K01790	rfbC, rmlC; dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	Metabolism of terpenoids and polyketides
K02849	waaQ, rfaQ; heptosyltransferase III [EC:2.4.-.-]	Glycan biosynthesis and metabolism
K13522	K13522, nadM; bifunctional NMN adenylyltransferase/nudix hydrolase [EC:2.7.7.1 3.6.1.-]	Metabolism of cofactors and vitamins
K06167	phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]	Metabolism of other amino acids
K00067	rfbD, rmlD; dTDP-4-dehydrorhamnose reductase [EC:1.1.1.133]	Metabolism of terpenoids and polyketides
K00558	DNMT1, dcm; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]	Amino acid metabolism
K06920	queC; 7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	Metabolism of cofactors and vitamins
K00499	CMO; choline monooxygenase [EC:1.14.15.7]	Amino acid metabolism
K00647	fabB; 3-oxoacyl-[acyl-carrier-protein] synthase I [EC:2.3.1.41]	Lipid metabolism
K01581	E4.1.1.17, ODC1, speC, speF; ornithine decarboxylase [EC:4.1.1.17]	Amino acid metabolism
K03639	moaA, CNX2; GTP 3',8-cyclase [EC:4.1.99.22]	Metabolism of cofactors and vitamins
K01939	purA, ADSS; adenylosuccinate synthase [EC:6.3.4.4]	Nucleotide metabolism
K16011	algA, xanB, rfbA, wbpW, pslB; mannose-1-phosphate guanylyltransferase / mannose-6-phosphate isomerase [EC:2.7.7.13 5.3.1.8]	Carbohydrate metabolism
K02078	acpP; acyl carrier protein	Biosynthesis of other secondary metabolites
K02535	lpxC; UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase [EC:3.5.1.108]	Glycan biosynthesis and metabolism
